item_id,status,classification,rationale,summary,source_references,last_touched,current_owner
"V1U-RES-001","checked","archive","Already completed in the master checklist; retained for audit traceability.","Build a machine-generated unresolved-item inventory.","docs/PRE_V1_MASTER_UNFINISHED_CHECKLIST.md, docs/PRE_V1_ACTION_CHECKLIST.md, ROADMAP.md, docs/RELEASE_PROCESS.md, docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md, docs/UNFINISHED_AND_MVP_AUDIT.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, README.md, notes/2026-05-20_09-07_prev1-rel-001-rc-gate-evidence.md","2026-05-20","release-audit"
"V1U-RES-002","checked","archive","Already completed in the master checklist; retained for audit traceability.","Classify unresolved items into `v1-blocker`, `v1-should-fix`, `post-v1`, or `archive`.","docs/PRE_V1_MASTER_UNFINISHED_CHECKLIST.md, docs/PRE_V1_ACTION_CHECKLIST.md, ROADMAP.md, docs/RELEASE_PROCESS.md, docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md, docs/UNFINISHED_AND_MVP_AUDIT.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, README.md, notes/2026-05-20_09-07_prev1-rel-001-rc-gate-evidence.md","2026-05-20","release-audit"
"V1U-RES-003","checked","archive","Already completed in the master checklist; retained for audit traceability.","Define checklist governance and closure semantics.","docs/PRE_V1_MASTER_UNFINISHED_CHECKLIST.md, docs/PRE_V1_ACTION_CHECKLIST.md, ROADMAP.md, docs/RELEASE_PROCESS.md, docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md, docs/UNFINISHED_AND_MVP_AUDIT.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, README.md, notes/2026-05-20_09-07_prev1-rel-001-rc-gate-evidence.md","2026-05-20","release-audit"
"V1U-OPEN-001","checked","archive","Already completed in the master checklist; retained for audit traceability.","Resolve `PREV1-RUN-002` external-doc dependency (`ruff-mcp` closure-mutation docs drift).","docs/PRE_V1_ACTION_CHECKLIST.md, notes/2026-05-12_23-23_NO-ROADMAP_named-nested-closure-capture-parity.md","2026-05-20","release-owner"
"V1U-OPEN-002","unchecked","post-v1","Tag-time release-publication tasks that cannot be fully closed until the final v1 release event.","Complete `ROADMAP.md` unchecked final checklist items.","ROADMAP.md, docs/UNFINISHED_AND_MVP_AUDIT.md","2026-05-20","release-owner"
"V1U-OPEN-003","unchecked","post-v1","Tag-time release-publication tasks that cannot be fully closed until the final v1 release event.","Complete `docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md` tag-time sign-off items.","docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md, docs/RELEASE_PROCESS.md","2026-05-16","release-owner"
"V1U-OPEN-004","checked","archive","Already completed in the master checklist; retained for audit traceability.","Execute `V1-DOCGEN-001` roadmap item.","ROADMAP.md, docs/DOCGEN.md","2026-05-20","release-owner"
"V1U-GATE-001","checked","archive","Already completed in the master checklist; retained for audit traceability.","Fix repo formatting drift causing RC gate failure.","scripts/release_candidate_gate.sh, scripts/release_gate.sh, docs/RELEASE_PROCESS.md, notes/2026-05-20_09-07_prev1-rel-001-rc-gate-evidence.md","2026-05-20","release-engineering"
"V1U-GATE-002","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Decide rustfmt config policy (stable vs nightly-only options warnings).","scripts/release_candidate_gate.sh, scripts/release_gate.sh, docs/RELEASE_PROCESS.md, notes/2026-05-20_09-07_prev1-rel-001-rc-gate-evidence.md","2026-05-20","release-engineering"
"V1U-GATE-003","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Re-run full RC gate in low-contention environment and record pass/fail evidence.","scripts/release_candidate_gate.sh, scripts/release_gate.sh, docs/RELEASE_PROCESS.md, notes/2026-05-20_09-07_prev1-rel-001-rc-gate-evidence.md","2026-05-20","release-engineering"
"V1U-GATE-004","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Stabilize socket/timing-sensitive release suites if flake persists.","scripts/release_candidate_gate.sh, scripts/release_gate.sh, docs/RELEASE_PROCESS.md, notes/2026-05-20_09-07_prev1-rel-001-rc-gate-evidence.md","2026-05-20","release-engineering"
"V1U-RUN-001","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Produce a full interpreter-flag dependency map.","README.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, src/main.rs, src/parser.rs, tests/vm_interpreter_parity_surfaces.rs","2026-05-20","runtime-parity"
"V1U-RUN-002","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Explain and justify `ruff test` interpreter hardcoding in `src/parser.rs::run_all_tests`.","README.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, src/main.rs, src/parser.rs, tests/vm_interpreter_parity_surfaces.rs","2026-05-20","runtime-parity"
"V1U-RUN-003","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Implement a VM-first or dual-engine `ruff test` execution strategy.","README.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, src/main.rs, src/parser.rs, tests/vm_interpreter_parity_surfaces.rs","2026-05-20","runtime-parity"
"V1U-RUN-004","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Close generator-surface ambiguity between docs/tests/runtime.","README.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, src/main.rs, src/parser.rs, tests/vm_interpreter_parity_surfaces.rs","2026-05-20","runtime-parity"
"V1U-RUN-005","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Expand parity evidence for any surface still commonly forced to interpreter mode.","README.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, src/main.rs, src/parser.rs, tests/vm_interpreter_parity_surfaces.rs","2026-05-20","runtime-parity"
