id,file,line,marker,summary,severity,owner,target_release_bucket,scope,rationale
V1TODO-001,src/benchmarks/profiler.rs,107,TODO,    /// TODO: Integrate into Value allocation for automatic tracking,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-002,src/benchmarks/profiler.rs,117,TODO,    /// TODO: Integrate into Value drop for automatic tracking,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-003,src/benchmarks/profiler.rs,17,TODO,    /// TODO: Implement sampling-based profiling (currently event-based),low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-004,src/benchmarks/profiler.rs,247,TODO,    /// TODO: Integrate into VM function call/return for automatic profiling,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-005,src/benchmarks/profiler.rs,256,TODO,    /// TODO: Integrate into Value::new() for automatic tracking,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-006,src/benchmarks/profiler.rs,265,TODO,    /// TODO: Integrate into Value::drop() for automatic tracking,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-007,src/benchmarks/profiler.rs,274,TODO,    /// TODO: Call from JitCompiler::compile(),low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-008,src/benchmarks/profiler.rs,284,TODO,    /// TODO: Call from JitCompiler when recompiling due to guard failures,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-009,src/benchmarks/profiler.rs,293,TODO,    /// TODO: Call from VM when JIT cache lookup succeeds,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-010,src/benchmarks/profiler.rs,302,TODO,    /// TODO: Call from VM when JIT cache lookup fails,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-011,src/benchmarks/profiler.rs,311,TODO,    /// TODO: Call from JIT-compiled code when type guards pass,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-012,src/benchmarks/profiler.rs,320,TODO,    /// TODO: Call from JIT-compiled code when type guards fail,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-013,src/benchmarks/profiler.rs,52,TODO,    /// TODO: Integrate into VM execution loop for automatic tracking,low,perf-owner,post-v1,non-production,benchmark/profiler integration backlog outside production execution path
V1TODO-014,src/interpreter/legacy_full.rs,10115,TODO,                            // TODO: Combine filters,low,interpreter-owner,post-v1,production,legacy interpreter mirror backlog; keep aligned with primary runtime
